Altium Designer Pick and Place Locations
C:\Users\wacker\AppData\Local\TempReleases\Snapshot\1\Assembly default\pnp-data\Pick Place for slave(default).csv

========================================================================================================================
File Design Information:

Date:       28.03.19
Time:       11:58
Revision:   Not in VersionControl
Variant:    default
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R1400-2","1M","TopLayer","RESC1608X05N","80.5457","57.4551","90","SMD Resistor 1M 0603"
"R1401-1","1M","TopLayer","RESC1608X05N","133.8857","57.4551","90","SMD Resistor 1M 0603"
"R1401-2","100R","TopLayer","RESC2012X05N","66.6750","40.9575","90","SMD Resistor 100R 0805"
"R1402-1","0R","TopLayer","RESC1608X05N","138.0132","57.4551","90","SMD Resistor 0R 0603"
"R1403-2","0R","TopLayer","RESC1608X05N","83.2444","57.4551","270","SMD Resistor 0R 0603"
"R1404-1","10k","TopLayer","RESC1608X05N","148.9075","59.3725","360","SMD Resistor 10k 0603"
"R1404-2","10k","TopLayer","RESC1608X05N","95.5675","59.3725","360","SMD Resistor 10k 0603"
"R1406-1","0R","TopLayer","RESC1608X05N","145.0774","58.2806","180","SMD Resistor 0R 0603"
"R1406-2","270R","TopLayer","RESC1608X05N","81.2800","60.9600","0","SMD Resistor 270R 0603"
"R1407-1","270R","TopLayer","RESC1608X05N","134.7470","60.9476","0","SMD Resistor 270R 0603"
"R1407-2","0R","TopLayer","RESC1608X05N","91.7374","58.2806","180","SMD Resistor 0R 0603"
"R1408-1","10k","TopLayer","RESC1608X05N","148.9075","56.5150","360","SMD Resistor 10k 0603"
"R1408-2","10k","TopLayer","RESC1608X05N","95.5675","56.5150","360","SMD Resistor 10k 0603"
"R1410-1","0R","TopLayer","RESC1608X05N","145.0774","55.1056","180","SMD Resistor 0R 0603"
"R1410-2","0R","TopLayer","RESC1608X05N","91.7374","55.1056","180","SMD Resistor 0R 0603"
"R1411-1","10k","TopLayer","RESC1608X05N","148.9075","53.6575","360","SMD Resistor 10k 0603"
"R1411-2","10k","TopLayer","RESC1608X05N","95.5675","53.6575","360","SMD Resistor 10k 0603"
"R1413-1","0R","TopLayer","RESC1608X05N","145.0774","51.9305","180","SMD Resistor 0R 0603"
"R1413-2","0R","TopLayer","RESC1608X05N","91.7374","51.9305","180","SMD Resistor 0R 0603"
"R1415-1","1k21","TopLayer","RESC1608X05N","147.3200","49.5300","90","SMD Resistor 1k21 0603"
"R1415-2","1k21","TopLayer","RESC1608X05N","93.9599","49.4400","90","SMD Resistor 1k21 0603"
"R1416-1","1k21","TopLayer","RESC1608X05N","147.2999","46.2280","90","SMD Resistor 1k21 0603"
"R1416-2","1k21","TopLayer","RESC1608X05N","93.9599","46.3100","90","SMD Resistor 1k21 0603"
"R1417-1","0R","TopLayer","RESC1608X05N","145.0774","48.7556","180","SMD Resistor 0R 0603"
"R1417-2","0R","TopLayer","RESC1608X05N","91.7374","48.7556","180","SMD Resistor 0R 0603"
"R1419-1","1k21","TopLayer","RESC1608X05N","131.0282","57.4551","270","SMD Resistor 1k21 0603"
"R1419-2","0R","TopLayer","RESC1608X05N","91.7374","45.5806","180","SMD Resistor 0R 0603"
"R1420-1","0R","TopLayer","RESC1608X05N","145.0774","45.5806","180","SMD Resistor 0R 0603"
"R1420-2","1k21","TopLayer","RESC1608X05N","77.6882","57.4551","270","SMD Resistor 1k21 0603"
"R1421-1","820R","TopLayer","RESC1608X05N","132.4569","57.4551","270","SMD Resistor 820R 0603"
"R1421-2","820R","TopLayer","RESC1608X05N","79.1169","57.4551","270","SMD Resistor 820R 0603"
"R1422-1","120R","TopLayer","RESC1608X05N","49.2125","27.9400","0","SMD Resistor 120R 0603"
"R1422-2","120R","TopLayer","RESC1608X05N","32.6824","27.9276","0","SMD Resistor 120R 0603"
"R1423-1","120R","TopLayer","RESC1608X05N","41.9100","27.9400","0","SMD Resistor 120R 0603"
"R1423-2","120R","TopLayer","RESC1608X05N","25.3799","27.9276","0","SMD Resistor 120R 0603"
"T1500","NX2301P,215","TopLayer","NXP-SOT23_N","64.1149","70.7901","90","P-Channel Trench MOSFET, -20 V, -2 A, -55 to 150 degC, 3-Pin SOT23, Tape and Reel"
"T1501","NX2301P,215","TopLayer","NXP-SOT23_N","106.0249","70.7901","90","P-Channel Trench MOSFET, -20 V, -2 A, -55 to 150 degC, 3-Pin SOT23, Tape and Reel"
"T1502","NX2301P,215","TopLayer","NXP-SOT23_N","71.0999","70.7901","90","P-Channel Trench MOSFET, -20 V, -2 A, -55 to 150 degC, 3-Pin SOT23, Tape and Reel"
"T1503","NX2301P,215","TopLayer","NXP-SOT23_N","113.0099","70.7901","90","P-Channel Trench MOSFET, -20 V, -2 A, -55 to 150 degC, 3-Pin SOT23, Tape and Reel"
"T1504","NX2301P,215","TopLayer","NXP-SOT23_N","78.0849","70.7901","90","P-Channel Trench MOSFET, -20 V, -2 A, -55 to 150 degC, 3-Pin SOT23, Tape and Reel"
"T1505","NX2301P,215","TopLayer","NXP-SOT23_N","119.9949","70.7901","90","P-Channel Trench MOSFET, -20 V, -2 A, -55 to 150 degC, 3-Pin SOT23, Tape and Reel"
"T1506","NX2301P,215","TopLayer","NXP-SOT23_N","85.0699","70.7901","90","P-Channel Trench MOSFET, -20 V, -2 A, -55 to 150 degC, 3-Pin SOT23, Tape and Reel"
"T1507","NX2301P,215","TopLayer","NXP-SOT23_N","126.9799","70.7901","90","P-Channel Trench MOSFET, -20 V, -2 A, -55 to 150 degC, 3-Pin SOT23, Tape and Reel"
"T1508","NX2301P,215","TopLayer","NXP-SOT23_N","92.0549","70.7901","90","P-Channel Trench MOSFET, -20 V, -2 A, -55 to 150 degC, 3-Pin SOT23, Tape and Reel"
"T1509","NX2301P,215","TopLayer","NXP-SOT23_N","133.9649","70.7901","90","P-Channel Trench MOSFET, -20 V, -2 A, -55 to 150 degC, 3-Pin SOT23, Tape and Reel"
"T1510","NX2301P,215","TopLayer","NXP-SOT23_N","140.9499","70.7901","90","P-Channel Trench MOSFET, -20 V, -2 A, -55 to 150 degC, 3-Pin SOT23, Tape and Reel"
"T1511","NX2301P,215","TopLayer","NXP-SOT23_N","99.0399","70.7901","90","P-Channel Trench MOSFET, -20 V, -2 A, -55 to 150 degC, 3-Pin SOT23, Tape and Reel"
"TR900","WE_750313457","TopLayer","WE_750313457","33.6550","86.0425","360","MID-FLYLT Flyback Transformers for Linear Technology"
"TR1400-1","HM2102NL","TopLayer","HM2102NL","45.5778","19.0398","90","Pulse HM2102NL BMS Transformer"
"TR1400-2","HM2102NL","TopLayer","HM2102NL","29.0678","19.0398","90","Pulse HM2102NL BMS Transformer"
"U1100","ACPL-217","TopLayer","SOIC127P700X220-4N","105.0724","59.2138","270","Optocoupler, Transistor Output, 1 Channel"
"U1101","ACPL-217","TopLayer","SOIC127P700X220-4N","55.8497","59.1492","270","Optocoupler, Transistor Output, 1 Channel"
"U1102","ACPL-217","TopLayer","SOIC127P700X220-4N","108.2274","59.2138","270","Optocoupler, Transistor Output, 1 Channel"
"U1103","ACPL-217","TopLayer","SOIC127P700X220-4N","59.3422","59.1492","270","Optocoupler, Transistor Output, 1 Channel"
"U1104","ACPL-217","TopLayer","SOIC127P700X220-4N","111.4002","59.2138","270","Optocoupler, Transistor Output, 1 Channel"
"U1105","ACPL-217","TopLayer","SOIC127P700X220-4N","62.8347","59.1492","270","Optocoupler, Transistor Output, 1 Channel"
"U1106","ACPL-217","TopLayer","SOIC127P700X220-4N","114.5774","59.2138","270","Optocoupler, Transistor Output, 1 Channel"
"U1107","ACPL-217","TopLayer","SOIC127P700X220-4N","66.3272","59.1492","270","Optocoupler, Transistor Output, 1 Channel"
"U1108","ACPL-217","TopLayer","SOIC127P700X220-4N","117.7724","59.2138","270","Optocoupler, Transistor Output, 1 Channel"
"U1109","ACPL-217","TopLayer","SOIC127P700X220-4N","98.6790","59.2138","270","Optocoupler, Transistor Output, 1 Channel"
"U1110","ACPL-217","TopLayer","SOIC127P700X220-4N","120.9449","59.2138","270","Optocoupler, Transistor Output, 1 Channel"
"U1111","ACPL-217","TopLayer","SOIC127P700X220-4N","101.9175","59.2138","270","Optocoupler, Transistor Output, 1 Channel"
"U100-1","AD8628ARTZ-R2","TopLayer","ADI-RJ-5_M","106.2041","22.4500","270","Single Channel RRIO Operational Amplifier, 2.5 MHz BW, 1 V/us SR, Industrial, 5-pin SOT23 (RJ-5), Reel"
"U100-2","AD8628ARTZ-R2","TopLayer","ADI-RJ-5_M","78.4225","20.0025","270","Single Channel RRIO Operational Amplifier, 2.5 MHz BW, 1 V/us SR, Industrial, 5-pin SOT23 (RJ-5), Reel"
"U101-1","AD8628ARTZ-R2","TopLayer","ADI-RJ-5_M","25.9249","63.1190","360","Single Channel RRIO Operational Amplifier, 2.5 MHz BW, 1 V/us SR, Industrial, 5-pin SOT23 (RJ-5), Reel"
"U101-2","AD8628ARTZ-R2","TopLayer","ADI-RJ-5_M","25.9249","56.1750","360","Single Channel RRIO Operational Amplifier, 2.5 MHz BW, 1 V/us SR, Industrial, 5-pin SOT23 (RJ-5), Reel"
"U600-1","LM5161QPWPRQ1","TopLayer","PWP0014A","111.6578","49.8467","360","Automotive DC/DC buck converter"
"U600-2","LM5161QPWPRQ1","TopLayer","PWP0014A","58.2587","49.8025","360","Automotive DC/DC buck converter"
"U700-1","TCA6408APWR","TopLayer","PW0016A_L","86.3600","17.7800","180","Low-Voltage 8-Bit I2C and SMBus I/O Expander, 1.65 to 5.5 V, -40 to 85 degC, 16-pin TSSOP (PW), Green (RoHS & no Sb/Br)"
"U700-2","TCA6408APWR","TopLayer","PW0016A_L","58.5587","17.5960","180","Low-Voltage 8-Bit I2C and SMBus I/O Expander, 1.65 to 5.5 V, -40 to 85 degC, 16-pin TSSOP (PW), Green (RoHS & no Sb/Br)"
"X200","molex_microfit_3_12x2_THT","TopLayer","MOLEX_MICROFIT_12x2_THT","130.7541","6.1576","180","Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 24 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-2400"
"X201","molex_microfit_3_08x2_THT","TopLayer","MOLEX_MICROFIT_08x2_THT","96.2365","6.1576","180","Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 16 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-1600"
"X202","molex_microfit_3_08x2_THT","TopLayer","MOLEX_MICROFIT_08x2_THT","67.8302","6.1576","180","Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 16 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-1600"
"X400","gen_pinheader_2.54_2x9","TopLayer","Pinheader_2.54_2x9","16.5099","42.5450","180","Standard Pinheader, THD, gerade, 2.54mm, 2-reihig"
"X401","gen_pinheader_2.54_2x5","TopLayer","Pinheader_2.54_2x5","36.8300","42.5450","180","Standard Pinheader, THD, gerade, 2.54mm, 2-reihig"
"X402","gen_pinheader_2.54_2x10","TopLayer","Pinheader_2.54_2x10","17.7800","34.9250","180","Standard Pinheader, THD, gerade, 2.54mm, 2-reihig"
"X403","gen_pinheader_2.54_2x9","TopLayer","Pinheader_2.54_2x9","16.5099","50.1650","180","Standard Pinheader, THD, gerade, 2.54mm, 2-reihig"
"X404","gen_pinheader_2.54_2x5","TopLayer","Pinheader_2.54_2x5","36.8300","50.1650","180","Standard Pinheader, THD, gerade, 2.54mm, 2-reihig"
"X500","molex_microfit_3_01x2_THT","TopLayer","MOLEX_MICROFIT_01x2_THT","49.7873","6.1576","180","Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 2 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0200"
"X501","molex_microfit_3_01x2_THT","TopLayer","MOLEX_MICROFIT_01x2_THT","42.3638","6.1576","180","Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 2 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0200"
"X502","molex_microfit_3_01x2_THT","TopLayer","MOLEX_MICROFIT_01x2_THT","34.9403","6.1576","180","Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 2 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0200"
"X503","molex_microfit_3_01x2_THT","TopLayer","MOLEX_MICROFIT_01x2_THT","27.5168","6.1576","180","Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 2 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0200"
"X1000","samtec_TSW-102-07-G-D","TopLayer","Pinheader_2.54_2x2","16.5100","13.9700","0","Board-To-Board Connector, Vertical, 2.54 mm, 4 Contacts, Header, TSW Series, Through Hole, 2 Rows"
"X1001","molex_microfit_3_01x2_THT","TopLayer","MOLEX_MICROFIT_01x2_THT","20.0933","6.1576","180","Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 2 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0200"
"X1002","molex_microfit_3_01x2_THT","TopLayer","MOLEX_MICROFIT_01x2_THT","12.6698","6.1576","180","Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 2 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0200"
"Z1300-1","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","139.0449","38.0876","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1300-2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","85.7049","38.0876","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1301-1","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","123.8049","38.0876","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1301-2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","70.4649","38.0876","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1302-1","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","141.5849","35.5476","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1302-2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","88.2449","35.5476","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1303-1","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","126.3449","35.5476","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1303-2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","73.0049","35.5476","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1304-1","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","144.1249","38.0876","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1304-2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","90.7849","38.0876","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1305-1","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","128.8849","38.0876","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1305-2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","75.5449","38.0876","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1306-1","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","146.6649","35.5476","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1306-2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","93.3249","35.5476","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1307-1","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","131.4249","35.5476","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1307-2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","78.0849","35.5476","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1308-1","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","149.2049","38.0876","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1308-2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","95.8649","38.0876","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1309-1","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","133.9649","38.0876","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1309-2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","80.6249","38.0876","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1310-1","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","151.7449","35.5476","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1310-2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","98.4049","35.5476","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1311-1","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","136.5049","35.5476","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"Z1311-2","MMSZ4692T1G","TopLayer","ONSC-SOD-123-2-425-04_V","83.1649","35.5476","360","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
